iter	Passed	Remaining
0	58	2925
1	60	1471
2	61	987
3	63	744
4	64	597
5	66	497
6	67	426
7	69	373
8	70	329
9	71	295
10	73	267
11	74	243
12	76	223
13	77	206
14	79	190
15	80	176
16	82	164
17	83	153
18	85	143
19	86	134
20	88	126
21	89	118
22	90	110
23	91	103
24	93	97
25	94	91
26	96	85
27	97	80
28	98	74
29	100	70
30	101	65
31	103	61
32	104	57
33	105	52
34	107	49
35	108	45
36	110	41
37	111	38
38	113	34
39	114	31
40	115	28
41	117	25
42	118	22
43	120	19
44	121	16
45	123	13
46	124	10
47	126	7
48	127	5
49	128	2
50	130	0
