iter	Passed	Remaining
0	59	2997
1	60	1486
2	61	985
3	63	751
4	66	609
5	68	510
6	68	431
7	70	377
8	70	330
9	71	293
10	72	262
11	73	237
12	73	215
13	74	196
14	76	184
15	77	169
16	78	156
17	79	146
18	81	136
19	81	126
20	82	117
21	85	112
22	85	104
23	87	98
24	88	91
25	89	85
26	89	79
27	90	74
27	123	102928	126	95
29	131	92
30	133	86
31	135	80
32	137	74
33	139	69
34	142	64
35	143	59
36	145	55
37	147	50
38	149	46
39	154	42
40	156	38
41	158	33
42	161	30
43	165	26
44	167	22
45	170	18
46	171	14
47	175	10
48	177	7
49	180	3
50	183	0
